campaign,prod_type,subject,sent,uniq_open,uniq_click
MB Transaction,D.C Upgrade,Love Pizzas? Download IndusMobile and get pizza vouchers worth Rs200.,138418,8662,195
MB Transaction,D.C Upgrade,Hello hAPPiness: Download IndusMobile and get BookMyShow vouchers worth Rs200.,208355,16123,322
MB Transaction,MB Transaction,Fast and Easy : Order a cheque book on your IndusMobile now,588,97,0
MB Transaction,MB Transaction,Order a new Cheque book on the go,10,4,0
MB Registration,MB Registration,Your account balance is now at your fingertips Download IndusMobile App Now,3623,287,14
NB Registration,NB Registration,Register on IndusNet today and avail offers upto Rs. 1000. Hurry,24,2,0
NB Registration,NB Registration,Avail offers worth Rs. 1000 when you Register on IndusNet. Know More,264,31,0
MB Transaction,MB Transaction,Fast and Easy : Order a cheque book on your IndusMobile now,8,2,0
MB Transaction,MB Transaction,Order a new Cheque book on the go,1921,213,4
MB Registration,MB Registration,Your account balance is now at your fingertips. Download IndusMobile App Now,3787,363,8
NB Registration,NB Registration,Register on IndusNet today and avail offers upto Rs. 1000. Hurry,2192,139,3
NB Registration,NB Registration,Register on IndusNet today and avail offers upto Rs. 1000. Hurry,973,90,1
MB Registration,MB Registration,Here’s an APPsolutely simple way to bank using your mobile.,3619,194,4
MB Registration,MB Registration,Your account balance is now at your fingertips Download IndusMobile App Now,111,16,1
MB Registration,MB Registration,Your account balance is now at your fingertips Download IndusMobile App Now,72,10,0
NB Registration,NB Registration,Avail offers worth Rs. 1000 when you Register on IndusNet. Know More,2171,128,5
NB Registration,NB Registration,Register on IndusNet today and avail offers upto Rs. 1000. Hurry,16,0,0
NB Registration,NB Registration,Avail offers worth Rs. 1000 when you Register on IndusNet. Know More,8730,581,10
NB Registration,NB Registration,Avail offers worth Rs. 1000 when you Register on IndusNet. Know More,17,0,0
NB Registration,NB Registration,Register on IndusNet today and avail offers upto Rs. 1000. Hurry,8790,668,15
NB Registration,NB Registration,Avail offers worth Rs. 1000 when you Register on IndusNet. Know More,18,0,0
NB Registration,NB Registration,Register on IndusNet today and avail offers upto Rs. 1000. Hurry,259,33,0
MB Transaction,MB Transaction,Order a new Cheque book on the go,5416,766,5
MB Transaction,MB Transaction,Fast and Easy : Order a cheque book on your IndusMobile now,1941,199,1
MB Transaction,MB Transaction,Fast and Easy : Order a cheque book on your IndusMobile now,35,10,0
NB Registration,NB Registration,Avail offers worth Rs. 1000 when you Register on IndusNet. Know More,952,64,1
MB Registration,MB Registration,Here’s an APPsolutely simple way to bank using your mobile.,109,14,0
MB Registration,MB Registration,Here’s an APPsolutely simple way to bank using your mobile,3850,283,9
MB Transaction,MB Transaction,Fast and Easy : Order a cheque book on your IndusMobile now,5447,659,7
MB Transaction,MB Transaction,Order a new Cheque book on the go,36,6,0
MB Transaction,MB Transaction,Order a new Cheque book on the go,595,104,0
MB Registration,MB Registration,Here’s an APPsolutely simple way to bank using your mobile.,79,3,0
NB Registration,NB Registration,Register on IndusNet today and avail offers upto Rs. 1000. Hurry,2291,202,4
D.C Acquisition,DC,"Dear %%Opportunity_Name%%, avail benefits worth Rs.21,600 on our power Packed Debit Card",47,8,1
D.C Acquisition,DC,"Dear %%Opportunity_Name%%, benefits worth Rs.19,100 await you. Details inside",41,7,0
NB Transaction,NB Transaction,Pay bills online and get rewards up to Rs 1500,5316,435,11
D.C Acquisition,DC,"Dear %%Opportunity_Name%%, avail benefits worth Rs.11,500 on our power Packed Debit Card",41,8,0
NB Registration,NB Registration,Register on IndusNet today and avail offers upto Rs. 1000. Hurry,373,31,0
NB Registration,NB Registration,Register on IndusNet today and avail offers upto Rs. 1000. Hurry,145961,10139,178
NB Registration,NB Registration,Register on IndusNet today and avail offers upto Rs. 1000. Hurry,135,20,0
NB Registration,NB Registration,Avail offers worth Rs. 1000 when you Register on IndusNet. Know More,2315,191,2
MB Registration,MB Registration,Here’s an APPsolutely simple way to bank using your mobile.,2086,146,2
D.C Acquisition,DC,Enjoy Exceptional benefits on our Signature Debit Card. Apply Now,39,11,0
NB Registration,NB Registration,Register on IndusNet today and avail offers upto Rs. 1000. Hurry,39042,2474,50
NB Transaction,NB Transaction,Pay bills online and get rewards up to Rs 1500,17,1,0
NB Transaction,NB Transaction,Pay bills online and get rewards up to Rs 1500,15,0,0
NB Registration,NB Registration,Register on IndusNet today and avail offers upto Rs. 1000. Hurry,15447,1170,18
NB Transaction,NB Transaction,Vouchers up to Rs1500 everytime you pay bills online.,1005,83,2
MB Transaction,MB Transaction,Order a new Cheque book on the go,95705,12279,116
MB Registration,MB Registration,Your account balance is now at your fingertips Download IndusMobile App Now,1359,146,3
D.C Acquisition,DC,Enjoy World-Class benefits on our Signature Debit Card. Apply Now,47,10,0
MB Registration,MB Registration,Your account balance is now at your fingertips Download IndusMobile App Now,586,89,0
NB Transaction,NB Transaction,Pay bills online and get rewards up to Rs 1500,171,16,0
D.C Acquisition,DC,Enjoy 12 movie tickets when you upgrade to our Platinum Premier Debit Card,43,9,0
NB Transaction,NB Transaction,Vouchers up to Rs1500 everytime you pay bills online.,667,63,2
MB Registration,MB Registration,Your account balance is now at your fingertips Download IndusMobile App Now,1480,155,3
NB Registration,NB Registration,Avail offers worth Rs. 1000 when you Register on IndusNet. Know More,3963,346,0
MB Transaction,MB Transaction,Fast and Easy : Order a cheque book on your IndusMobile now,554,81,0
MB Registration,MB Registration,Your account balance is now at your fingertips Download IndusMobile App Now,64350,4828,225
MB Registration,MB Registration,Here’s an APPsolutely simple way to bank using your mobile.,584,57,2
NB Registration,NB Registration,Avail offers worth Rs. 1000 when you Register on IndusNet. Know More,22,3,0
MB Transaction,MB Transaction,Order a new Cheque book on the go,173,32,0
NB Registration,NB Registration,Register on IndusNet today and avail offers upto Rs. 1000. Hurry,22,2,0
NB Transaction,NB Transaction,Pay bills online and get rewards up to Rs 1500,654,73,1
NB Transaction,NB Transaction,Vouchers up to Rs1500 everytime you pay bills online.,5355,401,8
NB Transaction,NB Transaction,Vouchers up to Rs1500 everytime you pay bills online.,178,14,1
NB Registration,NB Registration,Your account balance is now at your fingertips Download IndusMobile App Now,2077,220,6
D.C Acquisition,DC,"Dear %%Opportunity_Name%%, avail benefits worth Rs.15,600 on our power Packed Debit Card",43,8,0
D.C Acquisition,DC,"Dear %%Opportunity_Name%%, avail benefits worth Rs.10000 on our power Packed Debit Card",39,9,0
NB Transaction,NB Transaction,Vouchers up to Rs1500 everytime you pay bills online.,21,1,0
NB Registration,NB Registration,Avail offers worth Rs. 1000 when you Register on IndusNet. Know More,139,18,0
MB Transaction,MB Transaction,Order a new Cheque book on the go,34492,4183,46
MB Registration,MB Registration,Your account balance is now at your fingertips. Download IndusMobile App Now,64678,6203,166
NB Transaction,NB Transaction,Pay bills online and get rewards up to Rs 1500,1004,61,1
NB Transaction,NB Transaction,Vouchers up to Rs1500 everytime you pay bills online.,15,1,0
MB Transaction,MB Transaction,Fast and Easy : Order a cheque book on your IndusMobile now,10476,1594,13
D.C Acquisition,DC,Enjoy Premium benefits on our Signature Debit Card. Apply Now,41,9,0
D.C Acquisition,DC,"Enjoy movie tickets, cash back on spends and more with our Platinum Plus Debit Card",38,8,0
NB Registration,NB Registration,Register on IndusNet today and avail offers upto Rs. 1000. Hurry,307,16,0
MB Transaction,MB Transaction,Love Movies? Download IndusMobile and get BookMyShow vouchers worth Rs200.,5350,369,5
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.11,500 on our power Packed Debit Card",1370,103,1
D.C Acquisition,DC,Enjoy 12 movie tickets when you upgrade to our Platinum Premier Debit Card,98,6,0
NB Transaction,NB Transaction,Vouchers up to Rs1500 everytime you pay bills online.,18306,1429,39
NB Transaction,NB Transaction,Pay bills online and get rewards up to Rs 1500,3106,285,4
NB Transaction,NB Transaction,Pay bills online and get rewards up to Rs 1500,90834,6882,147
MB Registration,MB Registration,Your account balance is now at your fingertips Download IndusMobile App Now,9314,1272,47
D.C Acquisition,DC,"Dear %%Opportunity_Name%%, avail benefits worth Rs.10000 on our power Packed Debit Card",29,1,0
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, benefits worth Rs.19,100 await you. Details inside",669,49,1
NB Transaction,NB Transaction,Vouchers up to Rs1500 everytime you pay bills online.,295,23,0
D.C Acquisition,DC,Enjoy World-Class benefits on our Signature Debit Card. Apply Now,170,12,0
NB Transaction,NB Transaction,Pay bills online and get rewards up to Rs 1500,11496,906,14
NB Registration,NB Registration,Register on IndusNet today and avail offers upto Rs. 1000. Hurry,39770,3438,73
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.21,600 on our power Packed Debit Card",2001,151,4
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.15,600 on our power Packed Debit Card",1097,83,5
MB Transaction,MB Transaction,Hello hAPPiness: Download IndusMobile and get BookMyShow vouchers worth Rs200.,5386,398,10
NB Registration,NB Registration,Register on IndusNet today and avail offers upto Rs. 1000. Hurry,1762,172,2
D.C Acquisition,DC,Enjoy Exceptional benefits on our Signature Debit Card. Apply Now,43,2,0
MB Registration,MB Registration,Your account balance is now at your fingertips Download IndusMobile App Now,33777,3851,130
NB Registration,NB Registration,Avail offers worth Rs. 1000 when you Register on IndusNet. Know More,431,60,0
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.10000 on our power Packed Debit Card",682,45,1
NB Registration,NB Registration,Vouchers up to Rs1500 everytime you pay bills online.,375,35,0
D.C Acquisition,DC,Enjoy Premium benefits on our Signature Debit Card. Apply Now,76,5,0
MB Transaction,MB Transaction,Hello hAPPiness: Download IndusMobile and get BookMyShow vouchers worth Rs200.,87459,6410,129
MB Registration,MB Registration,"Newer,Smarter,Better : Download IndusMobile App Now",3838,269,1
MB Transaction,MB Transaction,Hassle free & Quick - Check your balance on IndusMobile,756,110,1
MB Registration,MB Registration,NEWER. SMARTER. BETTER Experience all new IndusMobile App,94,5,0
MB Transaction,MB Transaction,"Check your balance super quick, without logging in on IndusMobile",1937,152,2
MB Registration,MB Registration,NEWER. SMARTER. BETTER Experience all new IndusMobile App,109,16,0
MB Transaction,MB Transaction,Hassle free & Quick - Check your balance on IndusMobile,76,12,0
MB Transaction,MB Transaction,Hassle free & Quick - Check your balance on IndusMobile,49,7,0
MB Registration,MB Registration,NEWER. SMARTER. BETTER Experience all new IndusMobile App,3652,222,3
MB Registration,MB Registration,"Newer,Smarter,Better : Download IndusMobile App Now",114,12,0
MB Transaction,MB Transaction,In a hurry? Check account balance without logging in,729,98,1
MB Transaction,MB Transaction,Check Balance without logging in on IndusMobile,1931,184,4
MB Transaction,MB Transaction,In a hurry? Check account balance without logging in,49,8,0
MB Registration,MB Registration,NEWER. SMARTER. BETTER Experience all new IndusMobile App,3841,275,2
MB Registration,MB Registration,In a hurry? Check account balance without logging in,74,6,0
MB Registration,MB Registration,"Newer,Smarter,Better : Download IndusMobile App Now",3738,219,4
MB Registration,MB Registration,"Newer,Smarter,Better : Download IndusMobile App Now",88,6,0
MB Registration,MB Registration,NEWER. SMARTER. BETTER Experience all new IndusMobile App,572,50,0
D.C Acquisition,DC,"Dear %%Opportunity_Name%%, avail benefits worth Rs.10000 on our power Packed Debit Card",67,10,0
MB Transaction,MB Transaction,Check Balance without logging in on IndusMobile,34348,3327,58
MB Registration,MB Registration,NEWER. SMARTER. BETTER Experience all new IndusMobile App,1350,87,0
D.C Acquisition,DC,Enjoy 12 movie tickets when you upgrade to our Platinum Premier Debit Card,140,13,0
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, benefits worth Rs.19,100 await you. Details inside",632,29,0
MB Registration,MB Registration,NEWER. SMARTER. BETTER Experience all new IndusMobile App,65405,3850,51
MB Registration,MB Registration,"Newer,Smarter,Better : Download IndusMobile App Now",64576,4686,53
MB Transaction,MB Transaction,In a hurry? Check account balance without logging in,235,41,0
MB Transaction,MB Transaction,Hassle free & Quick - Check your balance on IndusMobile,719,105,1
MB Transaction,MB Transaction,"Check your balance super quick, without logging in on IndusMobile",6041,664,11
MB Registration,MB Registration,NEWER. SMARTER. BETTER Experience all new IndusMobile App,2074,173,0
MB Registration,MB Registration,"Newer,Smarter,Better : Download IndusMobile App Now",1640,101,2
MB Transaction,MB Transaction,Check Balance without logging in on IndusMobile,6062,746,12
MB Registration,MB Registration,"Newer,Smarter,Better : Download IndusMobile App Now",577,56,0
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.21,600 on our power Packed Debit Card",1880,86,2
D.C Acquisition,DC,Enjoy World-Class benefits on our Signature Debit Card. Apply Now,216,15,0
D.C Acquisition,DC,Enjoy Premium benefits on our Signature Debit Card. Apply Now,118,10,0
MB Transaction,MB Transaction,Hassle free & Quick - Check your balance on IndusMobile,12496,1714,25
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.11,500 on our power Packed Debit Card",1284,56,0
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.10000 on our power Packed Debit Card",644,39,1
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.15,600 on our power Packed Debit Card",1031,48,0
D.C Acquisition,DC,Enjoy Exceptional benefits on our Signature Debit Card. Apply Now,83,12,0
MB Registration,MB Registration,"Newer,Smarter,Better : Download IndusMobile App Now",2073,149,2
MB Transaction,MB Transaction,Hello hAPPiness: Download IndusMobile and get BookMyShow vouchers worth Rs200.,12222,983,24
MB Registration,MB Registration,NEWER. SMARTER. BETTER Experience all new IndusMobile App,33937,2932,24
MB Registration,MB Registration,NEWER. SMARTER. BETTER Experience all new IndusMobile App,9324,943,8
MB Transaction,MB Transaction,Love Movies? Download IndusMobile and get BookMyShow vouchers worth Rs200.,12192,923,10
MB Transaction,MB Transaction,Check Balance without logging in on IndusMobile,107143,12770,238
NB Registration,NB Registration,Now Manage your Business on the go,145,19,0
NB Registration,NB Registration,Now Manage your Business on the go,2291,213,7
NB Registration,NB Registration,Register on IndusNet today and avail offers upto Rs. 1000. Hurry,1148,106,0
NB Registration,NB Registration,Now Manage your Business on the go,24,1,0
NB Registration,NB Registration,Avail offers worth Rs. 1000 when you Register on IndusNet. Know More,21,1,0
NB Registration,NB Registration,Register on IndusNet today and avail offers upto Rs. 1000. Hurry,2253,127,3
NB Registration,NB Registration,Register on IndusNet today and avail offers upto Rs. 1000. Hurry,240,25,2
NB Registration,NB Registration,Avail offers worth Rs. 1000 when you Register on IndusNet. Know More,2273,166,10
NB Registration,NB Registration,Register on IndusNet today and avail offers upto Rs. 1000. Hurry,8893,612,6
NB Registration,NB Registration,Welcome to the new way of Banking,2308,221,4
NB Registration,NB Registration,Avail offers worth Rs. 1000 when you Register on IndusNet. Know More,8951,654,8
NB Registration,NB Registration,Register on IndusNet today and avail offers upto Rs. 1000. Hurry,27,1,0
NB Registration,NB Registration,Register on IndusNet today and avail offers upto Rs. 1000. Hurry,54,8,0
NB Registration,NB Registration,Avail offers worth Rs. 1000 when you Register on IndusNet. Know More,242,20,0
NB Registration,NB Registration,Welcome to the new way of Banking,137,21,0
NB Registration,NB Registration,Welcome to the new way of Banking,20,3,0
NB Registration,NB Registration,Avail offers worth Rs. 1000 when you Register on IndusNet. Know More,54,8,0
NB Registration,NB Registration,Avail offers worth Rs. 1000 when you Register on IndusNet. Know More,1139,82,1
NB Registration,NB Registration,Welcome to the new way of Banking,40057,3628,135
NB Registration,NB Registration,Avail offers worth Rs. 1000 when you Register on IndusNet. Know More,40925,2842,59
NB Registration,NB Registration,Register on IndusNet today and avail offers upto Rs. 1000. Hurry,4067,365,3
MB Transaction,MB Transaction,Hello hAPPiness: Download IndusMobile and get BookMyShow vouchers worth Rs200.,196787,14814,267
NB Registration,NB Registration,Welcome to the new way of Banking,416,59,2
NB Registration,NB Registration,Avail offers worth Rs. 1000 when you Register on IndusNet. Know More,449,34,1
NB Registration,NB Registration,Avail offers worth Rs. 1000 when you Register on IndusNet. Know More,345,19,1
NB Registration,NB Registration,Now Manage your Business on the go,1720,169,2
NB Registration,NB Registration,Register on IndusNet today and avail offers upto Rs. 1000. Hurry,18194,1369,18
NB Registration,NB Registration,Avail offers worth Rs. 1000 when you Register on IndusNet. Know More,148909,10472,139
NR Campaign,NR,Earn 6% interest p.a. on your NRI Savings Account. Know more,39490,5739,8
MB Transaction,MB Transaction,24*7 instant fund transfer only on IndusMobile,77,13,0
D.C Acquisition,DC,Enjoy Premium benefits on our Signature Debit Card. Apply Now,117,8,0
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.21,600 on our power Packed Debit Card",1808,73,1
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, benefits worth Rs.19,100 await you. Details inside",615,34,1
MB Transaction,MB Transaction,Smart and Quick Fund Transfer only on IndusMobile,6124,563,3
MB Transaction,MB Transaction,24*7 instant fund transfer only on IndusMobile,6088,574,2
MB Transaction,MB Transaction,Smart and Quick Fund Transfer only on IndusMobile,12,1,0
MB Transaction,MB Transaction,24*7 instant fund transfer only on IndusMobile,12,4,0
MB Transaction,MB Transaction,Smart and Quick Fund Transfer only on IndusMobile,2161,159,2
D.C Acquisition,DC,Enjoy 12 movie tickets when you upgrade to our Platinum Premier Debit Card,138,11,0
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.15,600 on our power Packed Debit Card",999,48,1
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.11,500 on our power Packed Debit Card",1240,39,0
MB Transaction,MB Transaction,24*7 instant fund transfer only on IndusMobile,709,124,0
MB Transaction,MB Transaction,Smart and Quick Fund Transfer only on IndusMobile,76,15,0
MB Transaction,MB Transaction,Smart and Quick Fund Transfer only on IndusMobile,708,85,0
MB Transaction,MB Transaction,24*7 instant fund transfer only on IndusMobile,2177,201,0
D.C Acquisition,DC,Enjoy World-Class benefits on our Signature Debit Card. Apply Now,210,15,0
D.C Acquisition,DC,Enjoy Exceptional benefits on our Signature Debit Card. Apply Now,79,8,0
D.C Acquisition,DC,"Dear %%Opportunity_Name%%, avail benefits worth Rs.10000 on our power Packed Debit Card",65,10,0
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.10000 on our power Packed Debit Card",617,32,1
MB Transaction,MB Transaction,24*7 instant fund transfer only on IndusMobile,235,48,0
MB Transaction,MB Transaction,24*7 instant fund transfer only on IndusMobile,12607,1784,4
MB Transaction,MB Transaction,24*7 instant fund transfer only on IndusMobile,38686,3277,9
MB Transaction,MB Transaction,24*7 instant fund transfer only on IndusMobile,755,106,0
MB Transaction,MB Transaction,Smart and Quick Fund Transfer only on IndusMobile,107643,10410,43
MB Transaction,MB Transaction,Love Pizzas? Download IndusMobile and get pizza vouchers worth Rs200.,8119,486,8
MB Transaction,MB Transaction,Download and Drool: Get pizza vouchers worth Rs200 when you download IndusMobile app.,8204,563,15
MB Transaction,MB Transaction,Download and Drool: Get pizza vouchers worth Rs200 when you download IndusMobile app.,140404,8438,176
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, benefits worth Rs.19,100 await you. Details inside",588,30,0
MB Transaction,MB Transaction,"Newer,Smarter,Better : Download IndusMobile App Now",35995,2377,28
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.15,600 on our power Packed Debit Card",961,52,2
MB Registration,MB Registration,"Get your personalized UPI address, Update email, and lot more on the new IndusMobile",35958,1917,28
NB Transaction,NB Transaction,Vouchers up to Rs1500 everytime you pay bills online.,22473,1845,29
D.C Acquisition,DC,Enjoy World-Class benefits on our Signature Debit Card. Apply Now,200,12,0
D.C Acquisition,DC,Enjoy Premium benefits on our Signature Debit Card. Apply Now,112,12,0
D.C Acquisition,DC,Enjoy 12 movie tickets when you upgrade to our Platinum Premier Debit Card,131,16,0
D.C Acquisition,DC,"Dear %%Opportunity_Name%%, avail benefits worth Rs.10000 on our power Packed Debit Card",59,14,0
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.11,500 on our power Packed Debit Card",1203,42,0
MB Registration,MB Registration,"Smarter IndusMobile is here: UPI payments,Update email and lot more. Download Now.",914,64,1
D.C Acquisition,DC,Enjoy Exceptional benefits on our Signature Debit Card. Apply Now,75,10,0
MB Registration,MB Registration,"Smarter IndusMobile is here: UPI payments,Update email and lot more. Download Now.",35913,1846,37
MB Registration,MB Registration,"Get your personalized UPI address, Update email, and lot more on the new IndusMobile",914,62,3
MB Registration,MB Registration,"Smarter IndusMobile is here: UPI payments,Update email and lot more. Download Now.",5290,494,2
MB Registration,MB Registration,"Smarter IndusMobile is here: UPI payments,Update email and lot more. Download Now.",19394,1573,33
MB Registration,MB Registration,"Get your personalized UPI address, Update email, and lot more on the new IndusMobile",5246,523,9
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.10000 on our power Packed Debit Card",594,25,1
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.21,600 on our power Packed Debit Card",1749,79,1
MB Registration,MB Registration,"Get your personalized UPI address, Update email, and lot more on the new IndusMobile",19466,1690,34
MB Registration,MB Registration,"Get your personalized UPI address, Update email, and lot more on the new IndusMobile",751,59,1
MB Registration,MB Registration,NEWER. SMARTER. BETTER Experience all new IndusMobile App,36188,2610,16
MB Registration,MB Registration,"Smarter IndusMobile is here: UPI payments,Update email and lot more. Download Now.",761,45,1
NB Transaction,NB Transaction,Pay bills online and get rewards up to Rs 1500,22534,1762,22
MB Registration,MB Registration,"Smarter IndusMobile is here: UPI payments,Update email and lot more. Download Now.",149,24,0
MB Registration,MB Registration,"Get your personalized UPI address, Update email, and lot more on the new IndusMobile",771,50,2
NB Transaction,NB Transaction,Vouchers up to Rs1500 everytime you pay bills online.,496,41,0
MB Registration,MB Registration,NEWER. SMARTER. BETTER Experience all new IndusMobile App,782,67,0
MB Registration,MB Registration,"Get your personalized UPI address, Update email, and lot more on the new IndusMobile",47,10,0
MB Registration,MB Registration,"Get your personalized UPI address, Update email, and lot more on the new IndusMobile",54,9,0
MB Registration,MB Registration,"Get your personalized UPI address, Update email, and lot more on the new IndusMobile",451,36,0
NB Transaction,NB Transaction,Vouchers up to Rs1500 everytime you pay bills online.,2314,171,0
MB Transaction,MB Transaction,New and Improved : Explore the feature loaded IndusMobile,2159,190,0
NB Transaction,NB Transaction,Pay bills online and get rewards up to Rs 1500,2333,181,1
MB Transaction,MB Transaction,Upgrade to the all new feature loaded IndusMobile App,70,14,0
MB Transaction,MB Transaction,New and Improved : Explore the feature loaded IndusMobile,727,91,1
MB Transaction,MB Transaction,New and Improved : Explore the feature loaded IndusMobile,43,9,0
MB Transaction,MB Transaction,Upgrade to the all new feature loaded IndusMobile App,6104,591,5
MB Transaction,MB Transaction,Upgrade to the all new feature loaded IndusMobile App,2191,217,4
MB Transaction,MB Transaction,New and Improved : Explore the feature loaded IndusMobile,74,12,0
MB Transaction,MB Transaction,Upgrade to the all new feature loaded IndusMobile App,46,9,0
MB Transaction,MB Transaction,New and Improved : Explore the feature loaded IndusMobile,6099,611,8
MB Transaction,MB Transaction,Upgrade to the all new feature loaded IndusMobile App,740,114,2
MB Transaction,MB Transaction,Upgrade to the all new feature loaded IndusMobile App,12564,1908,30
NB Transaction,NB Transaction,Vouchers up to Rs1500 everytime you pay bills online.,40106,3087,35
MB Transaction,MB Transaction,Upgrade to the all new feature loaded IndusMobile App,107797,12046,196
NR Campaign,NR,Congratulations on your new account. Here’s your gift voucher.,1057,357,86
MB Transaction,MB Transaction,New and Improved : Explore the feature loaded IndusMobile,230,51,1
MB Transaction,MB Transaction,Upgrade to the all new feature loaded IndusMobile App,749,128,2
MB Transaction,MB Transaction,Upgrade to the all new feature loaded IndusMobile App,38617,3934,52
MB Transaction,MB Transaction,APPsolute delight: Download IndusMobile and get BookMyShow vouchers worth Rs200.,4998,234,3
MB Transaction,MB Transaction,BookMyShow Vouchers inside. Download IndusMobile app now.,4935,277,10
MB Transaction,MB Transaction,BookMyShow Vouchers inside. Download IndusMobile app now.,81613,3927,127
MB Transaction,MB Transaction,Order a new Cheque book on the go,46374,4957,30
MB Transaction,MB Transaction,Order a new Cheque book on the go,127867,15383,126
MB Transaction,MB Transaction,Fast and Easy : Order a cheque book on your IndusMobile now,920,128,0
MBNB UseCase,MB,Know your Account Balance in a jiffy. Download the IndusMobile App.,85341,6567,285
MB Transaction,MB Transaction,Fast and Easy : Order a cheque book on your IndusMobile now,259,46,0
NR Campaign,NR,Video Call your Branch Manager from Anyplace,40200,5406,110
MB Transaction,MB Transaction,Fast and Easy : Order a cheque book on your IndusMobile now,15748,2168,12
